,date,country,activity,fatal_(y/n),month,australia
517,09-aug-2014,bahamas,fishing,no,august,
518,09-aug-2014,usa,swimming,no,august,
519,08-aug-2014,usa,swimming,no,august,
520,06-aug-2014,usa,other_activities,no,august,
521,05-aug-2014,usa,swimming,no,august,
522,02-aug-2014,usa,surfing,no,august,
523,02-aug-2014,usa,other_activities,no,august,
524,01-aug-2014,south_africa,surfing,no,august,
525,aug-2014,nan,other_activities,no,august,
526,27-jul-2014,usa,swimming,no,july,
527,22-jul-2014,reunion,surfing,no,july,
528,21-jul-2014,usa,other_activities,no,july,
529,20-jul-2014,spain,other_activities,no,july,
530,16-jul-2014,usa,swimming,no,july,
531,14-jul-2014,usa,swimming,no,july,
532,13-jul-2014,bahamas,swimming,no,july,
533,12-jul-2014,usa,surfing,no,july,
534,9-jul-2014,usa,surfing,no,july,
535,5-jul-2014,usa,swimming,no,july,
536,5-jul-2014,usa,surfing,no,july,
537,3-jul-2014,usa,surfing,no,july,
538,reported_27-jun-2014,st._martin,other_activities,no,june,
539,25-jun-2014,bahamas,fishing,no,june,
540,18-jun-2014,australia,surfing,no,june,australia
541,18-jun-2014,australia,other_activities,no,june,australia
542,reported_17-jun-2014,australia,other_activities,no,june,australia
543,09-jun-2014,brazil,fishing,no,june,
544,09-jun-2014,usa,other_activities,no,june,
545,09-jun-2014,australia,other_activities,no,june,australia
546,08-jun-2014,japan,surfing,no,june,
547,07-jun-2014,usa,other_activities,no,june,
548,01-jun-2014,usa,swimming,no,june,
549,01-jun-2014,australia,surfing,no,june,australia
550,01-jun-2014,usa,other_activities,no,june,
551,24-may-2014,australia,other_activities,no,may,australia
552,23-may-2014,france,swimming,no,may,
553,22-may-2014,australia,other_activities,no,may,australia
554,15-may-2014,usa,other_activities,no,may,
555,14-may-2014,australia,surfing,no,may,australia
556,13-may2014,usa,other_activities,no,may,
557,11-may-2014,usa,surfing,no,may,
558,reported_10-may-2014,usa,swimming,no,may,
559,06-may-2014,usa,swimming,no,may,
560,04-may-2014,south_africa,swimming,no,may,
561,01-may-2014,usa,surfing,no,may,
562,24-apr-2014,australia,fishing,no,april,australia
563,22-apr-2014,usa,swimming,no,april,
564,15-apr-2014,usa,other_activities,no,april,
565,reported_12-apr-2014,south_africa,other_activities,no,april,
566,12-apr-2014,south_africa,fishing,no,april,
567,04-apr-2014,usa,surfing,no,april,
568,04-apr-2014,usa,surfing,no,april,
569,03-apr-2014,australia,swimming,yes,april,australia
570,29-mar-2014,australia,swimming,no,march,australia
571,22-mar-2014,south_africa,swimming,yes,march,
572,22-mar-2014,usa,surfing,no,march,
573,21-mar-2014,usa,surfing,no,march,
574,18-mar-2014,new_caledonia,surfing,no,march,
575,18-mar-2014,australia,surfing,no,march,australia
576,18-mar-2014,australia,other_activities,no,march,australia
577,12-mar-2014,australia,swimming,no,march,australia
578,13-mar-2014,cayman_islands,swimming,no,march,
579,02-mar-2014,usa,surfing,no,march,
580,20-feb-2014,french_polynesia,surfing,no,february,
581,reported_17-feb-2014,papua_new_guinea,boat,no,february,
582,08-feb-2014,australia,swimming,yes,february,australia
583,07-feb-2014,trinidad_&_tobago,fishing,no,february,
584,07-feb-2014,new_zealand,surfing,no,february,
585,26-jan-2014,australia,fishing,no,january,australia
586,25-jan-2014,new_zealand,fishing,no,january,
587,04-jan-2014,japan,other_activities,no,january,
588,2014,usa,swimming,no,,
589,2014,new_zealand,other_activities,no,,
590,25-dec-2013,new_caledonia,swimming,no,december,
